date,country_name,new_confirmed,cumulative_persons_fully_vaccinated,mobility_workplaces,mobility_residential,average_temperature_celsius
2020-04-01,United Kingdom,4933,0,-69,28,6.166667
2020-04-01,India,336,0,-68,29,30.5
2020-04-01,France,4861,0,-71,31,6.366667
2020-04-01,Colombia,163,0,-73,33,21.952381
2020-04-01,South Africa,76,0,-73,35,19.388889
2020-04-01,Chile,293,0,-51,26,17.185185
2020-04-01,United States of America,22132,0,-49,20,14.481481
2020-04-01,Turkey,2148,0,-49,22,7.627778
2020-04-01,Germany,6174,0,-43,17,3.827778
2020-04-01,Japan,61,0,-10,7,12.65
2020-04-01,South Korea,86,0,-8,7,10.522222
2020-04-02,United Kingdom,4855,0,-70,29,7.116667
2020-04-02,India,601,0,-69,30,30.842593
2020-04-02,France,2116,0,-73,33,6.033333
2020-04-02,Colombia,101,0,-73,34,23.231481
2020-04-02,South Africa,50,0,-73,37,18.822222
2020-04-02,Chile,373,0,-51,27,17.074074
2020-04-02,United States of America,24501,0,-50,21,7.481481
2020-04-02,Turkey,2456,0,-50,23,9.805556
2020-04-02,Germany,6082,0,-43,17,5.733333
2020-04-02,Japan,318,0,-10,6,9.538889
2020-04-02,South Korea,94,0,-6,7,10.611111
2020-04-03,United Kingdom,4892,0,-69,29,5.266667
2020-04-03,India,472,0,-67,30,29.84127
2020-04-03,Colombia,108,0,-71,36,24.769841
2020-04-03,France,5233,0,-72,37,7.683333
2020-04-03,South Africa,64,0,-73,38,18.185185
2020-04-03,United States of America,26289,0,-50,22,-2.518519
2020-04-03,Turkey,2786,0,-50,25,5.811111
2020-04-03,Chile,333,0,-50,29,16.703704
2020-04-03,Germany,5936,0,-44,19,6.527778
2020-04-03,Japan,336,0,-11,7,12.25
2020-04-03,South Korea,81,0,-6,7,11.883333
2020-04-04,United Kingdom,4002,0,-57,19,7.617284
2020-04-04,France,4267,0,-57,24,9.955556
2020-04-04,South Africa,40,0,-55,27,18.438272
2020-04-04,India,693,0,-61,28,28.595238
2020-04-04,Colombia,140,0,-66,31,25.269841
2020-04-04,Turkey,3013,0,-46,23,11.194444
