date,country_name,new_confirmed,cumulative_persons_fully_vaccinated,mobility_workplaces,mobility_residential,average_temperature_celsius
2021-09-01,Chile,375,13705602,5,11,12.801587
2021-09-02,Chile,594,13730274,6,11,13.285714
2021-09-03,Chile,504,13748388,6,12,12.126984
2021-09-04,Chile,477,13749227,6,9,13.079365
2021-09-05,Chile,430,13749385,6,10,12.468254
2021-09-06,Chile,435,13810969,6,11,12.626984
2021-09-07,Chile,273,13874208,7,11,9.952381
2021-09-08,Chile,358,13890149,8,10,9.944444
2021-09-09,Chile,515,13901803,7,10,11.015873
2021-09-10,Chile,518,13911344,7,11,12.603175
2021-09-11,Chile,489,13911961,6,11,12.896825
2021-09-12,Chile,449,13912020,4,12,15.046296
2021-09-13,Chile,426,13951887,0,11,11.420635
2021-09-14,Chile,297,13991891,-1,9,10.18254
2021-09-15,Chile,408,14008210,-1,8,11.269841
2021-09-16,Chile,604,14016702,-10,7,13.031746
2021-09-17,Chile,594,14016756,-64,19,13.777778
2021-09-18,Chile,610,14016771,-52,10,13.634921
2021-09-19,Chile,491,14016776,-24,8,12.68254
2021-09-20,Chile,280,14040151,-1,10,13.126984
2021-09-21,Chile,291,14064651,5,10,12.634921
2021-09-22,Chile,526,14082684,9,11,13.928571
2021-09-23,Chile,886,14093998,9,11,14.642857
2021-09-24,Chile,852,14103734,8,11,15.968254
2021-09-25,Chile,783,14104136,7,10,15.52381
2021-09-26,Chile,775,14104198,7,10,14.230159
2021-09-27,Chile,640,14122117,11,11,13.81746
2021-09-28,Chile,454,14142282,11,10,14.729167
2021-09-29,Chile,525,14153934,11,10,14.142857
2021-09-30,Chile,895,14162866,12,10,14.571429
2021-10-01,Chile,846,14170663,11,10,13.895833
2021-10-02,Chile,853,14171030,7,8,13.277778
2021-10-03,Chile,752,14171114,7,9,11.849206
2021-10-04,Chile,673,14186487,11,10,12.849206
2021-10-05,Chile,503,14202295,11,9,14.034722
2021-10-06,Chile,714,14209863,13,9,13.055556
2021-10-07,Chile,981,14216040,13,9,13.365079
2021-10-08,Chile,1037,14221752,11,10,13.706349
2021-10-09,Chile,1033,14222047,7,7,13.055556
2021-10-10,Chile,1105,14222068,5,7,14.952381
2021-10-11,Chile,996,14222346,-65,20,15.47619
2021-10-12,Chile,634,14287899,12,8,15.785714
2021-10-13,Chile,766,14341419,12,10,15.865079
2021-10-14,Chile,1223,14373950,13,10,14.047619
2021-10-15,Chile,1703,14392187,9,11,12.293651
2021-10-16,Chile,1774,14392616,10,8,13.896825
2021-10-17,Chile,1562,14392656,9,9,14.785714
2021-10-18,Chile,1357,14439765,6,14,15.952381
2021-10-19,Chile,966,14494252,12,9,17.349206
2021-10-20,Chile,1206,14555930,14,10,15.857143
2021-10-21,Chile,1842,14604414,14,10,16.833333
2021-10-22,Chile,2086,14659952,14,10,16.256944
2021-10-23,Chile,2056,14661202,10,8,14.428571
2021-10-24,Chile,1882,14661267,8,10,17.420635
2021-10-25,Chile,1677,14740089,14,10,20.833333
2021-10-26,Chile,1201,14834617,15,9,19.920635
2021-10-27,Chile,1753,14936240,16,9,18.979167
2021-10-28,Chile,2205,15037261,16,9,20.402778
2021-10-29,Chile,2379,15128422,14,8,20.697531
2021-10-30,Chile,2230,15132687,8,5,19.652778
2021-10-31,Chile,2250,15132947,11,4,16.347222
2021-11-01,Chile,1806,15133470,-67,19,14.215278
2021-11-02,Chile,1390,15227336,14,8,16.819444
2021-11-03,Chile,1360,15315620,15,9,17.524691
2021-11-04,Chile,1953,15396686,16,9,15.291667
2021-11-05,Chile,2601,15467255,16,9,14.645833
2021-11-06,Chile,2895,15471494,11,7,15.520833
2021-11-07,Chile,2682,15471706,9,9,16.326389
2021-11-08,Chile,2367,15514548,15,9,18.763889
2021-11-09,Chile,1800,15573613,16,8,18.141975
2021-11-10,Chile,2229,15630837,17,8,16.277778
2021-11-11,Chile,2833,15685551,16,9,17.333333
2021-11-12,Chile,2950,15733315,16,9,17.895062
2021-11-13,Chile,2712,15737103,10,7,17.451389
2021-11-14,Chile,2835,15737358,8,9,17.027778
2021-09-01,Colombia,1694,15737358,1,6,17.481481
2021-09-02,Colombia,1640,14771114,1,6,20.587302
2021-09-03,Colombia,1811,14873013,9,6,18.916667
2021-09-04,Colombia,1396,14912159,18,2,19.888889
2021-09-05,Colombia,675,14912159,20,2,20.0
2021-09-06,Colombia,1292,14912159,2,7,18.958333
2021-09-07,Colombia,1399,14912159,6,7,18.018519
2021-09-08,Colombia,1679,14912159,3,6,17.680556
2021-09-09,Colombia,1581,15572631,2,6,18.222222
2021-09-10,Colombia,1688,15712902,10,6,20.055556
2021-09-11,Colombia,1372,15712902,19,3,17.666667
2021-09-12,Colombia,669,15746173,19,3,17.347222
2021-09-13,Colombia,1233,15817661,4,6,20.694444
2021-09-14,Colombia,1565,15902438,5,6,19.240741
2021-09-15,Colombia,1641,15968154,2,6,17.805556
2021-09-16,Colombia,1653,15968154,1,5,20.222222
2021-09-17,Colombia,1518,16096455,8,4,22.763889
2021-09-18,Colombia,1259,16137068,18,0,22.296296
2021-09-19,Colombia,675,16159636,17,1,22.366667
2021-09-20,Colombia,1247,16223761,4,6,17.236111
2021-09-21,Colombia,1533,16223761,6,7,19.166667
2021-09-22,Colombia,1499,16353229,5,7,17.375
2021-09-23,Colombia,1621,16423702,5,6,16.944444
2021-09-24,Colombia,1494,16423702,11,5,21.34127
2021-09-25,Colombia,1195,16538611,19,2,23.255556
2021-09-26,Colombia,707,16684339,19,2,18.583333
2021-09-27,Colombia,1253,16811660,7,6,21.731481
2021-09-28,Colombia,1529,16811660,7,8,20.787037
2021-09-29,Colombia,1542,16929789,6,6,20.896825
2021-09-30,Colombia,1692,16929789,6,5,17.407407
2021-10-01,Colombia,1477,17207121,13,4,20.12963
2021-10-02,Colombia,1205,17207121,20,1,21.015873
2021-10-03,Colombia,652,17207121,19,1,17.583333
2021-10-04,Colombia,1304,17494197,8,5,19.037037
2021-10-05,Colombia,1490,17494197,9,6,19.259259
2021-10-06,Colombia,1627,17865559,6,5,21.309524
2021-10-07,Colombia,1500,18096506,6,5,21.788889
2021-10-08,Colombia,1635,18308930,13,5,19.666667
2021-10-09,Colombia,1273,18501504,20,2,17.125
2021-10-10,Colombia,604,18593793,19,3,18.537037
2021-10-11,Colombia,1249,18815492,2,6,17.333333
2021-10-12,Colombia,1535,19007794,4,6,20.240741
2021-10-13,Colombia,1522,19199704,0,5,19.425926
2021-10-14,Colombia,1597,19370919,-1,6,18.092593
2021-10-15,Colombia,1512,19370919,5,4,20.144444
2021-10-16,Colombia,1296,19370919,15,1,19.377778
2021-10-17,Colombia,758,19724680,17,0,20.854167
2021-10-18,Colombia,714,19773196,-60,12,16.777778
2021-10-19,Colombia,1470,19773196,9,4,16.296296
2021-10-20,Colombia,1693,19773196,6,5,21.027778
2021-10-21,Colombia,1808,19773196,6,5,17.638889
2021-10-22,Colombia,1554,20375431,14,5,20.287037
2021-10-23,Colombia,1630,20498474,22,3,20.97619
2021-10-24,Colombia,864,20586698,23,4,17.486111
2021-10-25,Colombia,1553,20720822,9,6,17.763889
2021-10-26,Colombia,2104,20859742,11,6,17.444444
2021-10-27,Colombia,2015,21005191,8,5,16.37037
2021-10-28,Colombia,1876,21141526,9,4,19.677778
2021-10-29,Colombia,1823,21141526,16,4,17.916667
2021-10-30,Colombia,1697,21356231,24,0,22.972222
2021-10-31,Colombia,807,21398743,31,-1,18.240741
2021-11-01,Colombia,689,21398743,-59,14,18.955556
2021-11-02,Colombia,1636,21561295,12,4,19.37037
2021-11-03,Colombia,1954,21682604,9,4,20.222222
2021-11-04,Colombia,2206,21813816,8,4,19.333333
2021-11-05,Colombia,2390,21813816,17,4,18.25
2021-11-06,Colombia,1963,22069693,25,1,23.407407
2021-11-07,Colombia,1082,22140469,25,2,21.277778
2021-11-08,Colombia,2214,22249865,11,5,17.305556
2021-11-09,Colombia,2402,22249865,13,5,17.722222
2021-11-10,Colombia,2592,22501438,10,4,17.402778
2021-11-11,Colombia,2560,22626221,9,4,20.177778
2021-11-12,Colombia,2732,22759122,15,3,21.555556
2021-11-13,Colombia,2114,22759122,21,0,20.666667
2021-11-14,Colombia,1153,22940295,23,0,18.222222
2021-09-01,Germany,14251,50723714,-19,3,15.255556
2021-09-02,Germany,10835,50865793,-18,3,15.983333
2021-09-03,Germany,10453,51004931,-18,2,17.227778
2021-09-04,Germany,4749,51069615,5,-2,16.116667
2021-09-05,Germany,6726,51107713,14,-3,16.405556
2021-09-06,Germany,13565,51192319,-18,3,17.511111
2021-09-07,Germany,15431,51311119,-16,4,18.188889
2021-09-08,Germany,12969,51452454,-16,2,18.938889
2021-09-09,Germany,11214,51589287,-16,3,20.272222
2021-09-10,Germany,7345,51721191,-16,3,19.888889
2021-09-11,Germany,5511,51792488,3,0,18.177778
2021-09-12,Germany,6325,51834050,12,-2,17.238889
2021-09-13,Germany,12455,51928105,-16,3,15.744444
2021-09-14,Germany,12925,52051773,-15,3,18.244444
2021-09-15,Germany,11022,52204735,-15,4,18.7
2021-09-16,Germany,8901,52347848,-17,3,15.238889
2021-09-17,Germany,7337,52487576,-18,3,14.627778
2021-09-18,Germany,3736,52560750,1,-1,14.4
2021-09-19,Germany,4664,52604901,6,-1,12.511111
2021-09-20,Germany,10454,52694780,-19,4,11.105556
2021-09-21,Germany,10696,52816987,-15,4,11.766667
2021-09-22,Germany,9727,52960822,-13,3,12.983333
2021-09-23,Germany,7211,53098052,-14,3,14.994444
2021-09-24,Germany,7774,53232998,-15,3,15.316667
2021-09-25,Germany,3022,53299608,4,-1,16.538889
2021-09-26,Germany,4171,53336593,14,-2,17.844444
2021-09-27,Germany,11780,53419222,-14,4,17.083333
2021-09-28,Germany,12150,53532254,-14,4,13.005556
2021-09-29,Germany,10118,53660555,-16,4,11.677778
2021-09-30,Germany,8517,53786780,-15,3,10.488889
2021-10-01,Germany,6164,53852218,-16,3,12.516667
2021-10-02,Germany,3088,53870442,2,0,14.888889
2021-10-03,Germany,4799,53878246,4,0,18.027778
2021-10-04,Germany,11547,53926698,-18,3,12.372222
2021-10-05,Germany,11644,54016972,-17,5,11.772222
2021-10-06,Germany,10429,54116058,-16,4,10.911111
2021-10-07,Germany,8854,54219807,-16,4,10.977778
